Date,Open,High,Low,Close,Volume,Adj Close
2021-01-04,81000,84400,80200,83000,38655276,83000
2021-01-05,81600,83900,81600,83900,35335669,83900
2021-01-06,83300,84500,82100,82200,42089013,82200
2021-01-07,82800,84200,82700,82900,32644642,82900
2021-01-08,83300,90000,83000,88800,59013307,88800
2021-01-11,90000,96800,89500,91000,90306177,91000
2021-01-12,90300,91400,87800,90600,48682416,90600
2021-01-13,89800,91200,89100,89700,36068848,89700
2021-01-14,88700,90000,88700,89700,26393970,89700
2021-01-15,89800,91800,88000,88000,33431809,88000
2021-01-18,86600,87300,84100,85000,43227951,85000
2021-01-19,84500,88000,83600,87000,39895044,87000
2021-01-20,89000,89000,86500,87200,25211127,87200
2021-01-21,87500,88600,86500,88100,25318011,88100
2021-01-22,89000,89700,86800,86800,30861661,86800
2021-01-25,87000,89900,86300,89400,27258534,89400
2021-01-26,88800,89200,86500,86700,33178936,86700
2021-01-27,86600,87700,85600,85600,26423070,85600
2021-01-28,83200,85600,83200,83700,31859808,83700
2021-01-29,84500,85000,82000,82000,39615978,82000
2021-02-01,81700,83400,81000,83000,28046832,83000
2021-02-02,84100,86400,83700,84400,26302077,84400
2021-02-03,84800,85400,83400,84600,22112205,84600
2021-02-04,83500,83800,82100,82500,24171688,82500
2021-02-05,83100,84000,82500,83500,18036835,83500
2021-02-08,83800,84200,83000,83000,15338765,83000
2021-02-09,84000,84800,82700,82700,20898332,82700
2021-02-10,82600,82600,81600,81600,23025766,81600
2021-02-15,83800,84500,83300,84200,23529706,84200
2021-02-16,84500,86000,84200,84900,20483100,84900
2021-02-17,83900,84200,83000,83200,18307735,83200
2021-02-18,83200,83600,82100,82100,21327683,82100
2021-02-19,82300,82800,81000,82600,25880879,82600
2021-02-22,83800,84200,82200,82200,25419886,82200
2021-02-23,81200,82900,81100,82000,20587314,82000
2021-02-24,81800,83600,81300,82000,26807651,82000
2021-02-25,84000,85400,83000,85300,34155986,85300
2021-02-26,82800,83400,82000,82500,38520800,82500
2021-03-02,85100,85300,83000,83600,33498180,83600
2021-03-03,83500,84000,82800,84000,19882132,84000
2021-03-04,82600,83200,82200,82400,24348331,82400
2021-03-05,81100,82600,81100,82100,20508971,82100
2021-03-08,82900,83000,81600,82000,17641256,82000
2021-03-09,81400,81900,80600,81400,25420764,81400
2021-03-10,82400,82500,80700,80900,20038422,80900
2021-03-11,81000,82500,81000,82000,23818297,82000
2021-03-12,83100,83500,82400,82800,13530573,82800
2021-03-15,82800,82900,81800,81800,13735798,81800
2021-03-16,82200,83000,82100,82800,12293537,82800
2021-03-17,82800,82900,82000,82300,11625146,82300
2021-03-18,82800,83800,82600,82900,18585244,82900
2021-03-19,82100,82500,81800,81900,15869700,81900
2021-03-22,82000,82300,81700,82000,12670506,82000
2021-03-23,82600,82900,81800,81800,13299907,81800
2021-03-24,81000,81600,80700,81000,17926638,81000
2021-03-25,81000,82100,80800,81200,14758826,81200
2021-03-26,81400,81600,81000,81500,12845778,81500
2021-03-29,81700,81700,81000,81600,14952134,81600
2021-03-30,81600,82300,81300,82200,13121698,82200
2021-03-31,82400,82700,81400,81400,17240518,81400
2021-04-01,82500,83000,82000,82900,18676461,82900
2021-04-02,84000,85200,83900,84800,22997538,84800
2021-04-05,85800,86000,84800,85400,16255990,85400
2021-04-06,86200,86200,85100,86000,19042023,86000
2021-04-07,86100,86200,85400,85600,17885538,85600
2021-04-08,85700,85700,84100,84700,19244259,84700
2021-04-09,84700,84900,83400,83600,18193707,83600
2021-04-12,84100,84100,83100,83200,12915282,83200
2021-04-13,83000,84500,82800,84000,15238206,84000
2021-04-14,84000,84300,83400,84000,13794652,84000
2021-04-15,83700,84500,83400,84100,16377412,84100
2021-04-16,84700,84700,83600,83900,15429522,83900
2021-04-19,83800,84000,83300,83300,15287311,83300
2021-04-20,83300,84000,83100,83900,15521965,83900
2021-04-21,83300,83500,82500,82600,21636079,82600
2021-04-22,82900,83000,82400,82400,13934746,82400
2021-04-23,81900,82900,81600,82800,17805080,82800
2021-04-26,82900,83500,82600,83500,15489938,83500
2021-04-27,83200,83300,82500,82900,12941533,82900
2021-04-28,83200,83200,82100,82100,15596759,82100
2021-04-29,82400,82500,81500,81700,20000973,81700
2021-04-30,81900,82100,81500,81500,18673197,81500
2021-05-03,81000,82400,81000,81700,15710336,81700
2021-05-04,81900,82600,81800,82600,12532550,82600
2021-05-06,81700,82300,81700,82300,17047511,82300
2021-05-07,81800,82100,81500,81900,14154882,81900
2021-05-10,82300,83500,81800,83200,19385027,83200
2021-05-11,82500,82600,81100,81200,28996680,81200
2021-05-12,80800,81200,79800,80000,35812268,80000
2021-05-13,78900,79600,78400,78500,31490096,78500
2021-05-14,79000,80300,78900,80100,16450920,80100
2021-05-17,80800,80900,79200,79600,17740855,79600
2021-05-18,79600,80000,79100,79600,17494407,79600
2021-05-20,79400,79700,79100,79500,16541828,79500
2021-05-21,80100,81500,79800,80100,20961714,80100
2021-05-24,80100,80400,79500,79700,13398666,79700
2021-05-25,80000,80400,79800,79900,13628942,79900
2021-05-26,80400,80500,79700,79800,11984359,79800
2021-05-27,80000,80000,79100,79600,23198510,79600
2021-05-28,79800,80400,79400,80100,12360199,80100
2021-05-31,80300,80600,79600,80500,13321324,80500
2021-06-01,80500,81300,80100,80600,14058401,80600
2021-06-02,80400,81400,80300,80800,16414644,80800
2021-06-03,81300,83000,81100,82800,29546007,82800
2021-06-04,82700,82700,81500,82200,18112259,82200
2021-06-07,82700,82800,81600,81900,16496197,81900
2021-06-08,82300,82600,81800,81900,12781226,81900
2021-06-09,81500,82000,81100,81100,14908823,81100
2021-06-10,81300,81400,80900,81000,17586995,81000
2021-06-11,81200,81700,80700,81000,14087962,81000
2021-06-14,80800,80900,80500,80500,10550078,80500
2021-06-15,80900,81200,80600,80900,10075685,80900
2021-06-16,81500,81900,81100,81800,14999855,81800
2021-06-17,81100,81300,80700,80900,14007385,80900
2021-06-18,81100,81100,80500,80500,14916721,80500
2021-06-21,79700,80000,79600,79900,16063340,79900
2021-06-22,80200,80300,79900,80000,11773365,80000
2021-06-23,80500,80600,79900,80100,13856548,80100
2021-06-24,80400,81400,80100,81200,18771080,81200
2021-06-25,81500,81900,81200,81600,13481405,81600
2021-06-28,81700,82000,81600,81900,11578529,81900
2021-06-29,81900,82100,80800,81000,15744317,81000
2021-06-30,81100,81400,80700,80700,13288643,80700
2021-07-01,80500,80600,80000,80100,13382882,80100
2021-07-02,80000,80400,79900,80000,8753097,80000
2021-07-05,80100,80800,80000,80400,8330969,80400
2021-07-06,80600,81200,80500,81200,12131651,81200
2021-07-07,81200,81300,80300,80800,15992202,80800
2021-07-08,81100,81200,79900,79900,16660998,79900
2021-07-09,79600,79800,79000,79400,22720577,79400
2021-07-12,79900,80000,79500,79700,9768108,79700
2021-07-13,80000,80200,79800,79800,9863450,79800
2021-07-14,79400,79600,79100,79500,11575636,79500
2021-07-15,79800,80600,79500,80600,13766279,80600
2021-07-16,80100,80100,79500,79800,10859399,79800
2021-07-19,79100,79200,78800,79000,13155414,79000
2021-07-20,78500,79000,78400,79000,12456646,79000
2021-07-21,79000,79100,78500,78500,12355296,78500
2021-07-22,79000,79800,78900,79700,12618790,79700
2021-07-23,79700,79900,79200,79300,9098910,79300
2021-07-26,79400,79500,78800,78800,10040975,78800
2021-07-27,79200,79400,78500,78500,11427693,78500
2021-07-28,78300,79200,78100,79200,12743417,79200
2021-07-29,78800,79400,78800,79000,14360453,79000
2021-07-30,78900,78900,78500,78500,13823411,78500
2021-08-02,79200,79500,78700,79300,11739124,79300
2021-08-03,79400,81400,79300,81400,24339360,81400
2021-08-04,82200,83100,81800,82900,25642368,82900
2021-08-05,83300,83300,82000,82100,18485469,82100
2021-08-06,81900,82500,81300,81500,13342623,81500
2021-08-09,81500,82300,80900,81500,15522581,81500
2021-08-10,82300,82400,80100,80200,20362639,80200
2021-08-11,79600,79800,78500,78500,30241137,78500
2021-08-12,77100,78200,76900,77000,42365223,77000
2021-08-13,75800,76000,74100,74400,61270643,74400
2021-08-17,74000,75100,74000,74200,30944847,74200
2021-08-18,73900,74600,73100,73900,29192631,73900
2021-08-19,73500,74400,73100,73100,22166298,73100
2021-08-20,73500,73900,72500,72700,22364803,72700
2021-08-23,73300,74000,73000,73300,19384648,73300
2021-08-24,73900,75700,73900,75600,21016913,75600
2021-08-25,76200,76600,74900,75700,22319664,75700
2021-08-26,76100,76200,74600,74600,16671494,74600
2021-08-27,74300,75000,73800,74300,15172748,74300
2021-08-30,75400,75500,74200,74600,12686999,74600
2021-08-31,74900,76700,74300,76700,24630370,76700
2021-09-01,76700,77100,75900,76800,16114775,76800
2021-09-02,76800,76800,75700,76000,15347486,76000
2021-09-03,76400,76700,76000,76600,12096419,76600
2021-09-06,76800,77600,76600,77300,12861180,77300
2021-09-07,77100,77100,75900,76100,13239401,76100
2021-09-08,76000,76400,75600,76300,11798147,76300
2021-09-09,76400,76600,75000,75300,17600770,75300
2021-09-10,75300,75600,74800,75300,10103212,75300
2021-09-13,75200,76300,75100,76300,11397775,76300
2021-09-14,77100,77700,76600,76600,18167057,76600
2021-09-15,77400,77400,76400,77000,12829128,77000
2021-09-16,77300,77400,76100,76100,13067622,76100
2021-09-17,76300,77200,75900,77200,16289502,77200
2021-09-23,77500,77600,76800,77400,17055590,77400
2021-09-24,77600,77700,77100,77300,12247274,77300
2021-09-27,77300,77700,77000,77700,11699798,77700
2021-09-28,77700,77800,76200,76300,15406382,76300
2021-09-29,74800,75300,73800,74100,23992458,74100
2021-09-30,74300,74800,73700,74100,19919361,74100
2021-10-01,73900,74000,72900,73200,15803395,73200
2021-10-05,73000,73000,71400,72200,24013921,72200
2021-10-06,72600,72800,71200,71300,18956962,71300
2021-10-07,71600,72100,71300,71600,13683532,71600
2021-10-08,72300,72400,71500,71500,14043287,71500
2021-10-12,70700,70900,68700,69000,31001484,69000
2021-10-13,68700,69600,68300,68800,24172015,68800
2021-10-14,69000,69800,68800,69400,19520641,69400
2021-10-15,70200,71000,70000,70100,18051612,70100
2021-10-18,70200,70300,69200,70200,13486391,70200
2021-10-19,70800,71000,70400,70600,9507991,70600
2021-10-20,70700,71000,70200,70300,10151638,70300
2021-10-21,70300,70600,70000,70200,10891094,70200
2021-10-22,70000,70700,70000,70400,8395448,70400
2021-10-25,69900,70600,69500,70200,10029621,70200
2021-10-26,70600,71500,70400,71100,10528252,71100
2021-10-27,71000,71000,70000,70100,10295316,70100
2021-10-28,69500,72200,69500,70700,20644902,70700
2021-10-29,71200,71600,69700,69800,17016151,69800
2021-11-01,70200,70600,69900,69900,11503729,69900
2021-11-02,70800,72200,70700,71500,16812570,71500
2021-11-03,71700,71700,70100,70400,12770428,70400
2021-11-04,71200,71600,70500,70600,11818987,70600
2021-11-05,71600,71600,70200,70200,12667743,70200
2021-11-08,70400,70600,69800,70600,11121981,70600
2021-11-09,70300,71000,70100,70500,11159589,70500
2021-11-10,70300,70900,70200,70200,9422009,70200
2021-11-11,69900,70000,69600,69900,11489122,69900
2021-11-12,70200,70900,69900,70600,10087450,70600
2021-11-15,71700,71900,70900,71400,12420710,71400
2021-11-16,71500,72000,71300,71300,10919239,71300
2021-11-17,71300,71600,70600,70700,11027606,70700
2021-11-18,70700,71000,70200,70200,10144957,70200
2021-11-19,70400,71400,70100,71200,11954728,71200
2021-11-22,73300,75200,73000,74900,27506623,74900
2021-11-23,76000,76000,74500,75300,22029195,75300
2021-11-24,76000,76200,74100,74800,15652305,74800
2021-11-25,75100,75100,73600,73700,12559258,73700
2021-11-26,73500,74100,72000,72300,13002242,72300
2021-11-29,71700,73000,71400,72300,16682559,72300
2021-11-30,73200,73900,70500,71300,30364841,71300
2021-12-01,72000,74800,71600,74400,21954856,74400
2021-12-02,73900,75800,73800,75800,23652940,75800
2021-12-03,75600,76000,74100,75600,18330240,75600
2021-12-06,75100,76700,74900,76300,16391250,76300
2021-12-07,76100,77700,75600,77400,19232453,77400
2021-12-08,78300,78600,77100,77400,21558340,77400
2021-12-09,77400,78200,77000,78200,21604528,78200
2021-12-10,77400,77600,76800,76900,9155219,76900
2021-12-13,77200,78300,76500,76800,15038750,76800
2021-12-14,76500,77200,76200,77000,10976660,77000
2021-12-15,76400,77600,76300,77600,9584939,77600
2021-12-16,78500,78500,77400,77800,11996128,77800
2021-12-17,76800,78000,76800,78000,13108479,78000
2021-12-20,77600,77800,76800,77100,11264375,77100
2021-12-21,77900,78300,77500,78100,14245298,78100
2021-12-22,78900,79400,78800,79400,17105892,79400
2021-12-23,79800,80000,79300,79900,13577498,79900
2021-12-24,80200,80800,80200,80500,12086380,80500
2021-12-27,80600,80600,79800,80200,10783368,80200
2021-12-28,80200,80400,79700,80300,18226325,80300
2021-12-29,80200,80200,78500,78800,19794795,78800
2021-12-30,78900,79500,78100,78300,14236700,78300
